,price,vehicleType,yearOfRegistration,gearbox,powerPS,kilometer,fuelType,brand,notRepairedDamage
159,2699,small car,2004,manual,101,150000,diesel,opel,no
160,3999,limousine,2006,automatic,150,150000,petrol,volkswagen,yes
161,11500,station wagon,2005,automatic,224,150000,diesel,audi,no
162,550,small car,2000,manual,65,150000,petrol,opel,yes
163,2500,small car,2003,manual,58,125000,petrol,opel,no
164,4500,limousine,2005,manual,116,150000,petrol,bmw,yes
165,800,bus,1997,manual,150,150000,petrol,chrysler,no
166,7500,station wagon,2002,manual,150,125000,petrol,audi,no
167,2200,coupe,1996,manual,90,150000,petrol,toyota,no
168,300,limousine,1995,manual,102,150000,petrol,bmw,no
169,1390,small car,2002,manual,60,150000,diesel,seat,no
170,4850,coupe,2017,manual,145,150000,petrol,ford,no
171,13500,station wagon,2011,automatic,140,100000,diesel,volkswagen,no
172,1550,station wagon,2001,manual,116,150000,diesel,audi,no
173,5100,small car,2009,manual,60,100000,petrol,ford,no
174,13800,cabrio,2003,automatic,231,70000,petrol,bmw,no
175,2450,bus,1989,manual,69,150000,diesel,volkswagen,no
176,1900,small car,2002,manual,58,150000,petrol,opel,no
177,7999,station wagon,2008,automatic,122,150000,diesel,mercedes_benz,no
178,29990,limousine,2013,automatic,204,50000,diesel,mercedes_benz,no
179,4650,station wagon,2003,manual,177,150000,diesel,mercedes_benz,yes
180,11990,station wagon,2011,manual,86,60000,petrol,volkswagen,no
181,10000,bus,2004,manual,174,150000,diesel,volkswagen,no
182,450,coupe,2016,manual,46,150000,diesel,peugeot,yes
183,2799,small car,2006,manual,68,125000,petrol,toyota,yes
184,799,small car,2008,manual,65,90000,petrol,chevrolet,yes
185,2800,limousine,1996,automatic,125,90000,petrol,audi,no
186,9300,station wagon,2010,manual,105,125000,diesel,volkswagen,no
187,1000,coupe,1999,manual,90,150000,petrol,ford,no
188,875,station wagon,2000,manual,116,150000,petrol,ford,no
189,10600,coupe,2010,manual,105,100000,petrol,volkswagen,no
190,34000,cabrio,2006,automatic,387,50000,petrol,mercedes_benz,no
191,950,small car,2001,manual,50,150000,petrol,seat,no
192,3650,station wagon,2008,manual,65,125000,diesel,renault,no
193,1699,station wagon,2001,manual,102,100000,diesel,renault,no
194,4750,small car,2009,manual,60,90000,petrol,peugeot,no
195,2450,limousine,1997,manual,170,150000,petrol,bmw,no
196,1250,small car,2002,manual,50,125000,petrol,seat,no
197,7450,station wagon,2006,manual,140,150000,diesel,audi,no
198,999,others,1999,manual,60,150000,petrol,opel,no
199,1999,limousine,1994,manual,88,40000,petrol,toyota,no
200,4500,small car,2006,manual,80,70000,petrol,opel,no
201,6990,small car,2011,manual,60,40000,petrol,ford,no
202,1500,small car,2002,manual,54,125000,petrol,smart,no
203,999,limousine,1999,manual,107,150000,petrol,renault,no
204,2450,coupe,2017,automatic,90,150000,petrol,volkswagen,no
205,3000,limousine,1999,automatic,306,150000,petrol,mercedes_benz,no
206,1650,limousine,2001,automatic,75,150000,petrol,mercedes_benz,no
207,11999,limousine,2010,manual,120,100000,petrol,audi,no
208,2990,small car,2000,manual,60,100000,petrol,volkswagen,no
209,7300,small car,2012,manual,84,80000,petrol,mazda,no
210,15900,limousine,2007,manual,265,150000,petrol,audi,no
211,999,small car,2001,automatic,41,150000,diesel,smart,no
212,1150,coupe,2018,manual,75,150000,petrol,volkswagen,no
213,1600,small car,1988,manual,26,90000,petrol,trabant,no
214,2200,cabrio,1999,manual,75,150000,petrol,volkswagen,no
215,5700,station wagon,2007,manual,105,150000,diesel,volkswagen,no
216,1222,station wagon,1998,manual,101,150000,petrol,audi,no
217,3400,coupe,2000,manual,143,150000,petrol,toyota,no
218,9999,coupe,2016,automatic,110,70000,diesel,ford,no
219,9400,limousine,2003,automatic,170,50000,petrol,bmw,no
220,8450,cabrio,2003,automatic,197,150000,petrol,mercedes_benz,no
221,4400,station wagon,2007,manual,75,80000,petrol,skoda,no
222,10900,cabrio,2006,manual,220,150000,petrol,volvo,no
223,32000,coupe,2011,automatic,306,60000,petrol,bmw,no
224,6250,cabrio,2001,automatic,197,150000,petrol,mercedes_benz,no
225,1800,small car,2000,manual,76,70000,petrol,suzuki,no
226,1000,limousine,1998,manual,101,150000,petrol,volkswagen,no
227,850,small car,2000,manual,68,150000,petrol,toyota,no
228,2500,small car,2004,manual,60,40000,petrol,ford,yes
229,8800,limousine,2005,manual,129,150000,petrol,bmw,no
230,18250,limousine,2012,manual,160,30000,petrol,volkswagen,no
231,5000,small car,1997,manual,150,100000,petrol,opel,no
232,1150,small car,2003,manual,58,150000,petrol,renault,no
233,399,coupe,2016,manual,60,150000,petrol,ford,no
234,2790,limousine,2002,manual,116,150000,petrol,volkswagen,no
235,3800,small car,2002,manual,125,150000,diesel,volkswagen,no
236,1100,small car,2002,manual,58,150000,petrol,hyundai,no
237,3990,coupe,2017,manual,140,150000,diesel,volkswagen,no
238,18500,bus,2003,manual,174,150000,diesel,volkswagen,no
239,5750,small car,2007,manual,80,150000,petrol,volkswagen,no
240,6499,small car,2009,manual,86,90000,petrol,seat,no
241,16500,limousine,2010,automatic,150,150000,diesel,bmw,no
242,23499,suv,2014,manual,110,30000,diesel,volkswagen,no
243,3800,cabrio,2002,manual,136,150000,petrol,peugeot,no
244,10950,limousine,2008,manual,170,150000,petrol,bmw,no
245,15450,limousine,2011,manual,150,30000,diesel,nissan,no
246,8750,cabrio,2006,manual,116,150000,petrol,mini,no
247,2700,bus,2007,manual,140,150000,diesel,ford,yes
248,3450,limousine,2002,manual,105,150000,petrol,seat,no
249,9990,bus,2005,manual,131,150000,diesel,volkswagen,no
250,600,limousine,1999,manual,125,150000,petrol,mitsubishi,no
251,1590,small car,2000,manual,50,150000,petrol,volkswagen,no
252,2300,small car,2003,manual,75,70000,petrol,renault,no
253,4500,small car,2011,manual,75,70000,petrol,renault,no
254,799,small car,1997,manual,60,125000,petrol,ford,yes
255,2000,coupe,2000,manual,150,150000,petrol,volkswagen,no
256,700,small car,1994,manual,50,150000,petrol,ford,no
257,1580,small car,1997,manual,101,150000,petrol,audi,no
258,1700,limousine,1997,automatic,170,150000,petrol,bmw,no
259,3500,limousine,2004,manual,140,150000,diesel,volkswagen,no
260,800,coupe,2016,automatic,170,150000,petrol,ford,no
261,12500,bus,2007,automatic,224,150000,diesel,mercedes_benz,no
262,9500,station wagon,2006,automatic,140,150000,diesel,audi,no
263,750,small car,1999,manual,50,150000,petrol,volkswagen,no
264,8600,bus,2009,manual,150,125000,cng,opel,no
265,8600,station wagon,2009,automatic,143,150000,petrol,audi,yes
266,5690,small car,2002,manual,75,100000,petrol,audi,no
267,8900,bus,1999,manual,102,150000,diesel,volkswagen,no
268,3600,suv,1997,manual,70,60000,petrol,suzuki,no
269,3899,cabrio,2002,automatic,61,30000,petrol,smart,no
270,1700,coupe,1999,automatic,270,150000,petrol,bmw,yes
271,9999,bus,2007,manual,170,150000,diesel,volkswagen,no
272,490,small car,1996,automatic,75,60000,petrol,ford,no
273,8000,cabrio,2007,automatic,84,40000,petrol,smart,no
274,13300,limousine,2009,manual,143,125000,diesel,audi,no
275,400,station wagon,1998,manual,99,150000,petrol,nissan,no
276,5000,bus,2002,manual,116,150000,diesel,volkswagen,no
277,2500,bus,2003,manual,86,150000,diesel,ford,no
278,2000,coupe,2016,manual,99,150000,diesel,nissan,no
279,1699,coupe,1998,automatic,223,150000,petrol,mercedes_benz,no
280,750,limousine,1998,manual,116,150000,petrol,opel,no
281,2222,cabrio,1997,manual,150,150000,petrol,bmw,no
282,1099,small car,2004,manual,68,150000,diesel,ford,no
283,7900,station wagon,2005,manual,105,150000,diesel,audi,no
284,8450,limousine,2004,automatic,218,150000,diesel,bmw,yes
285,550,station wagon,1997,manual,150,150000,petrol,audi,no
286,1250,limousine,1999,manual,150,125000,petrol,alfa_romeo,no
287,1600,station wagon,2003,manual,120,150000,diesel,nissan,no
288,24300,bus,2012,manual,140,70000,diesel,volkswagen,no
289,4200,limousine,2007,automatic,140,150000,diesel,volkswagen,no
290,2850,station wagon,2002,manual,143,150000,petrol,bmw,no
291,23000,coupe,2010,manual,239,125000,diesel,audi,no
292,18900,cabrio,2010,manual,200,80000,petrol,audi,no
293,6500,small car,2014,manual,60,10000,petrol,skoda,no
294,3300,bus,2002,manual,130,150000,diesel,renault,no
295,6990,suv,2007,manual,141,100000,petrol,hyundai,no
296,1500,station wagon,1996,manual,125,150000,petrol,audi,no
297,4999,limousine,2003,manual,150,150000,diesel,bmw,no
298,12500,station wagon,2010,automatic,140,150000,diesel,volkswagen,no
299,350,station wagon,1997,manual,90,150000,petrol,volkswagen,no
300,14900,cabrio,2005,manual,280,60000,petrol,nissan,no
301,1499,small car,2002,manual,75,150000,petrol,renault,no
302,3000,station wagon,2007,manual,80,150000,petrol,skoda,yes
303,1800,small car,2004,manual,102,125000,petrol,volkswagen,yes
304,3400,limousine,2003,automatic,193,150000,petrol,volkswagen,no
305,450,small car,1997,manual,55,125000,petrol,volkswagen,no
306,800,limousine,1997,manual,136,150000,petrol,honda,no
307,2490,station wagon,2001,manual,125,150000,petrol,volkswagen,no
308,1550,station wagon,2001,manual,105,150000,petrol,volkswagen,no
309,999,station wagon,2001,manual,101,150000,petrol,opel,no
310,17999,suv,2010,automatic,150,80000,diesel,toyota,no
311,5000,coupe,2007,manual,109,150000,diesel,ford,no
312,2450,small car,2002,manual,75,150000,diesel,audi,yes
313,13100,bus,2011,manual,140,80000,petrol,volkswagen,no
314,4999,station wagon,2003,manual,250,150000,petrol,alfa_romeo,no
315,1000,limousine,1991,manual,192,150000,lpg,bmw,no
316,390,limousine,1990,manual,90,150000,petrol,audi,no
317,5299,limousine,2004,manual,105,150000,diesel,volkswagen,no
318,2799,station wagon,2002,manual,101,150000,diesel,volkswagen,no
319,5699,limousine,2008,manual,77,60000,lpg,fiat,no
320,18900,station wagon,2008,automatic,235,125000,diesel,bmw,no
321,3500,limousine,2007,manual,109,150000,diesel,mercedes_benz,no
322,3800,limousine,2007,manual,122,150000,petrol,hyundai,no
323,750,small car,2002,manual,58,150000,petrol,renault,no
324,190,station wagon,1998,manual,90,150000,petrol,renault,no
325,150,coupe,1997,manual,100,150000,petrol,bmw,no
326,5300,cabrio,2003,automatic,82,125000,petrol,smart,no
327,22900,coupe,2011,automatic,170,90000,diesel,mercedes_benz,no
328,9050,coupe,2016,manual,86,20000,petrol,kia,no
329,2600,limousine,2000,manual,118,150000,petrol,bmw,no
330,6500,cabrio,2008,manual,90,100000,petrol,opel,no
331,2450,bus,2001,manual,116,150000,diesel,volkswagen,no
332,31900,limousine,2010,automatic,275,90000,diesel,jaguar,no
333,1900,station wagon,2002,automatic,116,150000,lpg,renault,no
334,550,limousine,1999,manual,125,150000,petrol,mitsubishi,no
335,1690,others,2000,manual,94,150000,diesel,fiat,no
336,1400,limousine,1999,manual,101,150000,petrol,volkswagen,yes
337,32900,bus,2016,manual,150,5000,diesel,bmw,no
338,17850,suv,2011,manual,200,70000,petrol,ford,no
339,950,limousine,2001,manual,116,150000,diesel,alfa_romeo,no
340,2150,small car,2006,manual,68,150000,petrol,citroen,no
341,550,small car,1998,manual,60,150000,petrol,opel,no
342,2990,cabrio,2002,automatic,147,150000,petrol,opel,no
343,650,limousine,2000,manual,101,150000,petrol,ford,yes
344,5799,coupe,2009,manual,150,80000,petrol,citroen,no
345,444,small car,2004,manual,58,150000,petrol,daihatsu,no
346,2799,small car,2007,manual,68,125000,petrol,citroen,no
347,9800,limousine,2008,manual,140,150000,diesel,audi,no
348,1000,small car,2002,manual,169,150000,petrol,renault,yes
349,16900,bus,2013,manual,105,50000,diesel,volkswagen,no
350,500,small car,1997,automatic,89,150000,petrol,honda,yes
351,1990,limousine,1999,manual,75,150000,petrol,volkswagen,no
352,1500,small car,1999,automatic,90,150000,diesel,mercedes_benz,no
353,2399,coupe,2018,manual,68,150000,petrol,volkswagen,no
354,5200,limousine,2006,manual,90,125000,diesel,toyota,no
355,2990,station wagon,2004,manual,120,150000,diesel,peugeot,no
356,1600,small car,2004,manual,75,150000,petrol,renault,no
357,5990,cabrio,1995,manual,228,150000,petrol,ford,no
358,7499,suv,2007,manual,129,150000,diesel,suzuki,no
359,1480,coupe,2016,manual,60,150000,petrol,volkswagen,no
360,2950,suv,1999,manual,120,150000,petrol,land_rover,no
361,1500,station wagon,1996,manual,75,150000,petrol,opel,no
362,1999,small car,2004,manual,60,150000,petrol,fiat,no
363,4200,bus,2003,manual,130,100000,petrol,toyota,no
364,1250,small car,1999,manual,50,150000,petrol,volkswagen,no
365,8700,small car,2012,manual,86,60000,petrol,seat,no
366,2200,limousine,1998,automatic,286,150000,petrol,bmw,yes
367,2222,limousine,2002,manual,207,150000,petrol,citroen,no
368,8300,limousine,2005,manual,170,150000,petrol,bmw,no
369,7000,coupe,1999,manual,220,125000,petrol,alfa_romeo,no
370,1390,small car,2001,automatic,41,150000,diesel,smart,no
371,17650,station wagon,2011,automatic,184,90000,petrol,mini,no
372,6200,limousine,2004,manual,140,150000,diesel,audi,no
373,250,small car,1998,manual,54,150000,petrol,opel,yes
374,7699,small car,2009,manual,80,70000,petrol,volkswagen,no
375,6300,bus,2008,automatic,170,150000,diesel,volkswagen,no
376,180,coupe,2016,manual,60,150000,petrol,peugeot,yes
377,7500,bus,2012,manual,90,150000,diesel,citroen,no
378,2490,station wagon,2001,manual,118,150000,petrol,bmw,no
379,27990,limousine,2015,automatic,220,10000,petrol,volkswagen,no
380,9000,limousine,2010,automatic,140,150000,diesel,ford,no
381,3500,small car,2010,manual,60,60000,petrol,fiat,no
382,500,coupe,2000,manual,90,150000,petrol,ford,no
383,2400,limousine,2004,manual,90,150000,diesel,audi,no
384,950,small car,1994,manual,60,150000,petrol,volkswagen,no
385,10300,bus,2007,automatic,170,150000,petrol,volkswagen,no
386,7450,small car,2009,manual,120,90000,petrol,ford,no
387,11000,suv,2008,automatic,286,100000,diesel,bmw,no
388,700,small car,1994,manual,48,125000,diesel,volkswagen,no
389,1500,small car,2001,manual,58,125000,petrol,renault,no
390,5900,cabrio,2004,manual,110,60000,petrol,mazda,no
391,3490,small car,2005,manual,69,150000,diesel,opel,no
392,600,small car,1990,manual,55,5000,petrol,volkswagen,no
393,1900,station wagon,1999,manual,150,150000,diesel,audi,no
394,8200,limousine,2005,automatic,150,150000,diesel,mercedes_benz,no
395,799,station wagon,1995,manual,101,150000,petrol,opel,no
396,31900,cabrio,2013,manual,170,40000,petrol,audi,no
397,550,small car,1993,manual,75,150000,petrol,honda,no
398,550,small car,1999,manual,60,150000,petrol,ford,no
399,12499,suv,2004,automatic,340,150000,petrol,porsche,no
400,3999,station wagon,2003,automatic,163,150000,diesel,volkswagen,no
401,9950,limousine,2007,automatic,190,150000,diesel,mercedes_benz,yes
402,4500,coupe,2008,manual,143,125000,petrol,mercedes_benz,no
403,2100,limousine,2000,manual,75,125000,petrol,volkswagen,no
404,7100,small car,2009,manual,95,90000,petrol,peugeot,no
405,4500,small car,2007,manual,75,125000,diesel,opel,no
406,500,coupe,2016,manual,45,150000,petrol,volkswagen,no
407,3500,cabrio,2007,manual,150,60000,petrol,peugeot,yes
408,5400,limousine,2004,automatic,272,150000,petrol,bmw,no
409,1650,coupe,2016,manual,75,150000,petrol,volkswagen,no
410,1650,small car,2000,manual,75,150000,petrol,volkswagen,no
411,850,coupe,2000,manual,75,150000,petrol,opel,no
412,18499,cabrio,2008,manual,330,30000,petrol,opel,no
413,17500,station wagon,2010,automatic,163,125000,diesel,volvo,no
414,2200,coupe,2017,manual,103,125000,petrol,fiat,no
415,1650,limousine,1999,manual,136,150000,diesel,bmw,no
416,600,small car,1997,manual,50,150000,petrol,seat,no
417,18000,coupe,2011,manual,160,40000,petrol,audi,no
418,2450,limousine,2000,manual,60,70000,petrol,seat,no
419,1700,small car,1999,manual,68,70000,petrol,subaru,no
420,7990,limousine,2006,automatic,140,150000,diesel,volkswagen,no
421,850,limousine,1994,manual,75,150000,petrol,volkswagen,no
422,10950,coupe,2017,automatic,179,150000,petrol,audi,no
423,5300,limousine,2006,manual,177,150000,diesel,toyota,no
424,4250,cabrio,1990,manual,98,150000,petrol,volkswagen,no
425,1999,station wagon,2001,automatic,143,150000,diesel,mercedes_benz,no
426,650,limousine,1996,manual,101,150000,petrol,audi,no
427,12800,cabrio,2007,automatic,218,150000,petrol,bmw,no
428,2999,station wagon,2000,automatic,150,150000,diesel,volkswagen,no
429,2000,limousine,2001,manual,125,150000,petrol,mercedes_benz,yes
430,6800,cabrio,2007,automatic,45,80000,diesel,smart,no
431,7450,station wagon,2006,manual,163,150000,diesel,bmw,no
432,7900,bus,2007,manual,140,150000,diesel,volkswagen,no
433,2200,others,2001,manual,109,150000,diesel,volkswagen,no
434,3350,suv,2003,automatic,170,150000,lpg,hyundai,no
435,850,bus,2005,manual,86,150000,diesel,ford,no
436,7999,station wagon,2004,manual,131,150000,diesel,audi,no
437,2990,limousine,2005,manual,102,125000,petrol,volkswagen,yes
438,1000,small car,1998,manual,102,150000,petrol,mercedes_benz,no
439,750,small car,1996,manual,75,150000,petrol,volkswagen,no
440,6499,limousine,2005,manual,140,150000,diesel,volkswagen,no
441,9999,limousine,2011,manual,143,150000,diesel,bmw,no
442,4200,station wagon,2005,manual,116,150000,diesel,bmw,no
443,10890,limousine,2012,manual,102,30000,petrol,skoda,no
444,850,small car,2003,automatic,75,150000,petrol,opel,yes
445,1200,limousine,1998,manual,101,150000,petrol,opel,no
446,7500,limousine,2007,manual,116,125000,petrol,volkswagen,no
447,3400,station wagon,2005,manual,155,150000,diesel,ford,yes
448,5000,cabrio,2001,manual,192,150000,petrol,bmw,no
449,24999,coupe,2010,automatic,286,150000,diesel,bmw,no
450,300,small car,1994,manual,75,150000,petrol,volkswagen,no
451,3800,limousine,2005,automatic,101,50000,petrol,ford,no
452,9750,limousine,2008,manual,150,150000,diesel,nissan,no
453,21990,suv,2007,automatic,500,150000,petrol,porsche,no
